Variable,ADF Statistic,P-value
AGRm,-3.762126757,0.018578437
MINm,-3.240139306,0.076696054
MANm,-2.243300996,0.465529037
TandWm,-0.347769545,0.988345036
INFm,-4.997154097,0.000208217
FandIm,-4.078437874,0.006781388
Rem,-2.384487737,0.387897596
HSm,-1.509197204,0.825963143
PIEPCm,-2.010727416,0.595578061
TRADEm,-2.551038291,0.302931882
PSTEm,-2.029531611,0.58525911
MEHIm,0.241473379,0.99599914
unemployrate,-1.799004478,0.705238156
AGRm,-1.99799201,0.602527201
MINm,-2.646237182,0.259075579
MANm,-1.885887231,0.661950466
TandWm,-1.263594114,0.896640557
INFm,-4.347926012,0.002647781
FandIm,-2.037310974,0.580971356
Rem,-2.642988369,0.260507336
HSm,-0.975544574,0.947317746
PIEPCm,-0.879738813,0.958273671
TRADEm,-3.158085123,0.093081878
PSTEm,0.188362585,0.995710157
MEHIm,-2.456961243,0.349803228
unemployrate,-2.755948921,0.213593678
AGRm,-4.345260357,0.002673466
MINm,-3.661109214,0.02504947
MANm,-2.167471016,0.508170019
TandWm,-1.166534834,0.91713814
INFm,-0.876217698,0.958631529
FandIm,-4.542673559,0.00128432
Rem,-2.495383595,0.330274163
HSm,-2.70247472,0.23505646
PIEPCm,0.89295541,1
TRADEm,-2.753605544,0.214505604
PSTEm,-1.510627448,0.825466559
MEHIm,-2.249215065,0.462217901
unemployrate,-1.823543993,0.693296411
AGRm,-3.146188464,0.095667211
MINm,-1.63636961,0.777868552
MANm,-5.092104756,0.000139364
TandWm,-1.823414997,0.693359797
INFm,-3.887195641,0.012633573
FandIm,-4.815384219,0.000440187
Rem,-1.969895785,0.617732181
HSm,-1.508602803,0.826169224
PIEPCm,-2.039485943,0.579770735
TRADEm,-2.431249626,0.363141897
PSTEm,0.449464978,0.996746362
MEHIm,-3.290571816,0.067817002
unemployrate,-1.70218088,0.749912464
AGRm,-2.555550313,0.30076763
MINm,-2.540018376,0.308251698
MANm,-1.741562241,0.732231491
TandWm,-2.592947957,0.283149353
INFm,-2.160873662,0.511886074
FandIm,1.107740824,1
Rem,-2.796205607,0.198341578
HSm,-1.892158602,0.658722771
PIEPCm,0.063382704,0.994820921
TRADEm,-2.799985254,0.196949858
PSTEm,-1.828072305,0.691067288
MEHIm,-2.044812004,0.576827379
unemployrate,-1.610224932,0.78840269
AGRm,-2.820225715,0.189614971
MINm,-3.448755004,0.04520662
MANm,-1.436852299,0.849767501
TandWm,-1.832794679,0.68873436
INFm,-5.202987887,8.65E-05
FandIm,-2.688421034,0.240921656
Rem,-1.206313253,0.909201238
HSm,-1.840581019,0.684869556
PIEPCm,-0.385050051,0.987319788
TRADEm,-3.171090658,0.090317671
PSTEm,2.710331447,1
MEHIm,-2.48505404,0.335474576
unemployrate,-1.728660598,0.738100081
AGRm,-2.936720477,0.150640037
MINm,-2.768608647,0.208712875
MANm,-2.173957429,0.504516182
TandWm,-3.444592136,0.045709001
INFm,-2.21467007,0.481598155
FandIm,-2.10120907,0.545419638
Rem,-0.251964132,0.990553149
HSm,2.188664695,1
PIEPCm,-0.825111356,0.963500964
TRADEm,-3.524264797,0.036865195
PSTEm,2.08324748,1
MEHIm,2.295051508,1
unemployrate,-1.991265152,0.606183907
AGRm,-0.679030767,0.974490289
MINm,-2.947289525,0.147418713
MANm,-2.431555281,0.362982132
TandWm,-3.747336771,0.019423202
INFm,0.692024536,0.99702942
FandIm,-1.10126972,0.928854428
Rem,-2.097162341,0.547685444
HSm,-0.969732838,0.948053316
PIEPCm,-0.637946701,0.976921802
TRADEm,-2.835580842,0.184183089
PSTEm,-1.20445527,0.909585972
MEHIm,0.680060095,0.997028267
unemployrate,0.421611633,0.996676726
AGRm,-3.909877738,0.011758736
MINm,-2.414126293,0.37213616
MANm,-2.521755393,0.317172104
TandWm,-2.207385728,0.485694635
INFm,-3.116150084,0.102440558
FandIm,-2.640938434,0.261413185
Rem,-2.435176369,0.361091547
HSm,-0.254121786,0.990509448
PIEPCm,0.138335655,0.995392409
TRADEm,-1.530971947,0.81829338
PSTEm,-2.95629827,0.144711643
MEHIm,-3.479886379,0.041593857
unemployrate,-2.167239278,0.508300556
AGRm,-3.822224062,0.015468885
MINm,-3.33887038,0.060107055
MANm,-2.650414985,0.257241406
TandWm,-1.613665852,0.787035194
INFm,-1.937008477,0.635282731
FandIm,-2.660145504,0.253000083
Rem,-2.049728154,0.574106545
HSm,-1.476669054,0.836984361
PIEPCm,-0.554321168,0.981144347
TRADEm,-1.562756708,0.806676956
PSTEm,1.532615572,1
MEHIm,-2.694984478,0.238170951
unemployrate,-2.644807565,0.259705029
AGRm,-2.457173005,0.349694238
MINm,-2.977103293,0.138595302
MANm,-1.469185712,0.839446134
TandWm,-0.756210905,0.969180404
INFm,-1.326474009,0.881224647
FandIm,-1.08499856,0.931536126
Rem,-5.242106798,7.29E-05
HSm,-1.8015877,0.703992246
PIEPCm,-0.704180431,0.972871718
TRADEm,-4.304324799,0.003098017
PSTEm,0.362649588,0.996500534
MEHIm,-2.414631964,0.371869334
unemployrate,-2.506344102,0.324797767
AGRm,-4.131686915,0.005664083
MINm,-4.046655766,0.007540167
MANm,-2.022474436,0.589139554
TandWm,-2.396938132,0.381247999
INFm,-1.499200481,0.829405809
FandIm,-1.698805559,0.751395349
Rem,-1.773320885,0.717478262
HSm,-3.021996132,0.126034847
PIEPCm,-1.914575299,0.647083055
TRADEm,-3.369552985,0.05559074
PSTEm,-1.361322609,0.871912238
MEHIm,-2.595294558,0.282063318
unemployrate,-1.794151487,0.707571558
AGRm,-3.178360216,0.088800574
MINm,-3.445021985,0.045656911
MANm,-3.027624619,0.124520818
TandWm,-0.137268843,0.992543238
INFm,2.382935628,1
FandIm,-2.051715067,0.573005833
Rem,-1.566790874,0.805166915
HSm,-1.312556409,0.884788511
PIEPCm,-2.08043441,0.557034172
TRADEm,-4.106526991,0.006169231
PSTEm,0.708298227,1
MEHIm,-1.015783233,0.941952546
unemployrate,-2.885376264,0.167353313
AGRm,-2.48457127,0.335718543
MINm,-1.578015254,0.800923309
MANm,-3.03463535,0.12265371
TandWm,-1.162097829,0.917985092
INFm,-0.163996835,0.992133411
FandIm,-2.945772686,0.147878012
Rem,2.217052595,1
HSm,-1.162290761,0.917948421
PIEPCm,1.127123735,1
TRADEm,-2.932814342,0.151843017
PSTEm,2.119250718,1
MEHIm,-2.367768107,0.396888644
unemployrate,-1.546455579,0.812696907
AGRm,-3.469491984,0.042772196
MINm,2.166905479,1
MANm,-2.845896722,0.180598061
TandWm,-1.271408617,0.894819382
INFm,-2.324865878,0.420247777
FandIm,-2.033732819,0.582944825
Rem,-3.466020538,0.043171906
HSm,1.795402193,1
PIEPCm,-2.000631535,0.6010897
TRADEm,-3.938610037,0.010728465
PSTEm,-1.57430305,0.802333645
MEHIm,-4.768159871,0.000532315
unemployrate,-4.259128151,0.003638573
AGRm,-2.655193023,0.255153389
MINm,-2.042022935,0.578369284
MANm,-1.828928513,0.690644932
TandWm,-3.207513057,0.082915
INFm,-2.266106848,0.45278006
FandIm,-5.036766655,0.000176255
Rem,-9.24170337,1.04E-13
HSm,-1.936519238,0.635541625
PIEPCm,-0.070037087,0.993450719
TRADEm,-2.699520722,0.236281609
PSTEm,2.094752025,1
MEHIm,-1.895953861,0.656763259
unemployrate,-1.909770648,0.649591002
AGRm,-2.383204076,0.388585447
