geoname,year,region,taxrevenueratio,agr,agrm,agrr,min,minm,minr,man,manm,manr,wholesaletrade,retailtrade,tandw,tandwm,tandwr,inf,infm,infr,fandi,fandim,fandir,re,rem,rer,professionalscientificandtechnic,educationalservices,hs,hsm,hsr,str,gdp,taxrevenue,spi,piepc,piepcm,trade,tradem,trader,pste,pstem,pster,igt,lgigt,c,p,lgpl,wapw,mehi,mehim,unemployrate,lggdp,lgml,granttotaloutlay,federalfunds,trustfunds,constraintratio,stategovernorparty
Arizona,2013,Southwest,0.0489525,1674,0.1674,0.00608287,6182,0.6182,0.02246374,21132,2.1132,0.076788,14640,19229,7114,0.7114,0.0258504,7673,0.7673,0.0278816,15858,1.5858,0.0576237,39272,3.9272,0.142704,14136,2796,20741,2.0741,0.0753672,13471.69,275199.1,48952.52,242030.3,33037,3.3037,33869,3.3869,0.1230709,16932,1.6932,0.0615264,,,,,,,48310,4.831,7.816667,5.439647,,546178,486781,59397,0.12202,Republican
Oklahoma,2019,Southwest,0.0541182,2738,0.2738,0.01372692,25794.4,2.57944,0.12931981,18446,1.8446,0.0924787,9660.7,12326.9,10384.6,1.03846,0.052063,6380.5,0.63805,0.0319885,7220.9,0.72209,0.0362019,19596.8,1.95968,0.0982482,8777.3,1218.2,14345.4,1.43454,0.0719204,10794.525,199462.1,54118.18,189981.3,35108,3.5108,21987.6,2.19876,0.1102345,9995.5,0.99955,0.0501123,,,,,,,67650,6.765,3.133333,5.29986,,749554,685729,63825,0.0930761,Republican
Arizona,2011,Southwest,0.0475492,1676,0.1676,0.00649744,6432,0.6432,0.02493528,22212,2.2212,0.0861104,14253,19278,7324,0.7324,0.0283933,6845,0.6845,0.0265364,13885,1.3885,0.0538287,36730,3.673,0.1423932,14007,2879,20170,2.017,0.0781941,12265.219,257947.8,47549.23,227203.3,31580,3.158,33531,3.3531,0.1299914,16886,1.6886,0.0654629,,,,,,,52270,5.227,9.433333,5.411532,,606770,552210,54560,0.098803,Republican
New Mexico,2018,Southwest,0.0576551,1426.3,0.14263,0.01484538,7386.8,0.73868,0.07688417,3683.7,0.36837,0.0383411,3190.1,6218.7,2822,0.2822,0.0293723,2587.8,0.25878,0.0269346,3313.7,0.33137,0.03449,11919.6,1.19196,0.124063,7407.2,559.8,7555.6,0.75556,0.0786411,5539.329,96077,57655.1,86179.5,35349,3.5349,9408.8,0.94088,0.0979298,7967,0.7967,0.0829231,,,,,,,55810,5.581,4.925,4.982619,,696507,634179,62328,0.0982814,Republican
Oklahoma,2018,Southwest,0.0484927,2936.2,0.29362,0.01497828,23862.3,2.38623,0.12172749,17724.8,1.77248,0.0904186,9718.2,11980.8,12549.9,1.25499,0.0640201,6132.4,0.61324,0.0312829,7268.6,0.72686,0.0370789,19411.3,1.94113,0.0990218,8342.2,1177.5,13962.6,1.39626,0.0712267,9506.058,196030.5,48492.75,180824,34621,3.4621,21699,2.1699,0.110692,9519.7,0.95197,0.0485623,,,,,,,62920,6.292,3.291667,5.292324,,696507,634179,62328,0.0982814,Republican
New Mexico,2017,Southwest,0.057179,1438.7,0.14387,0.01543502,6293.7,0.62937,0.06752165,3555.4,0.35554,0.0381439,3189.6,5935.7,2623.4,0.26234,0.028145,2617.5,0.26175,0.0280817,3281.1,0.32811,0.0352011,11764.1,1.17641,0.1262106,7072,561.4,7446.1,0.74461,0.0798851,5329.658,93210.1,57178.98,82354.1,33853,3.3853,9125.3,0.91253,0.0979003,7633.4,0.76334,0.0818946,,,,,,,53770,5.377,6.041667,4.969463,,674712,613125,61587,0.1004477,Republican
New Mexico,2011,Southwest,0.0569015,1076,0.1076,0.01242136,7749,0.7749,0.08945454,4150,0.415,0.0479076,2555,4816,2177,0.2177,0.0251313,3371,0.3371,0.0389149,2195,0.2195,0.0253391,11085,1.1085,0.1279654,5958,444,5730,0.573,0.0661472,4929.096,86625,56901.54,73017.7,29514,2.9514,7371,0.7371,0.0850909,6402,0.6402,0.0739048,,,,,,,53130,5.313,7.216667,4.937643,,606770,552210,54560,0.098803,Democrat
Texas,2014,Southwest,0.0352287,7705,0.7705,0.00492209,175986,17.5986,0.11242309,187463,18.7463,0.1197548,114883,84620,45266,4.5266,0.0289168,50909,5.0909,0.0325216,64495,6.4495,0.0412006,133994,13.3994,0.0855978,90749,8002,78201,7.8201,0.0499562,55146.619,1565390,35228.67,1257640,35204,3.5204,199503,19.9503,0.1274462,98751,9.8751,0.063084,,,,,,,65170,6.517,5.191667,6.194623,,576978,517428,59550,0.1150885,Republican
New Mexico,2006,Southwest,0.0660072,1061,0.1061,0.01370339,6683,0.6683,0.08631456,5979,0.5979,0.077222,3104,5185,2196,0.2196,0.0283625,2110,0.211,0.0272518,2136,0.2136,0.0275876,8332,0.8332,0.1076123,5297,426,5004,0.5004,0.0646294,5110.683,77426.1,66007.23,59713.7,26344,2.6344,8289,0.8289,0.1070569,5723,0.5723,0.0739156,,,,,,,56070,5.607,4.233333,4.888887,,434099,391181,42918,0.1097139,Democrat
New Mexico,2003,Southwest,0.0573512,859,0.0859,0.01365749,6823,0.6823,0.10848084,5251,0.5251,0.0834872,2747,4809,1779,0.1779,0.0282848,1809,0.1809,0.0287618,1926,0.1926,0.030622,7356,0.7356,0.1169552,4468,378,4455,0.4455,0.0708313,3607.156,62895.9,57351.21,49019.7,22292,2.2292,7556,0.7556,0.120135,4846,0.4846,0.0770479,,,,,,,53370,5.337,5.9,4.798622,,388542,350650,37892,0.1080622,Republican
